Date,Value
2019-01-22,60.66
2019-01-21,61.49
2019-01-18,60.9
2019-01-17,59.63
2019-01-16,59.52
2019-01-15,58.24
2019-01-14,58.39
2019-01-11,60.0
2019-01-10,59.46
2019-01-09,58.22
2019-01-08,56.09
2019-01-07,56.42
2019-01-04,55.13
2019-01-03,52.93
2019-01-02,52.14
2018-12-28,51.55
2018-12-27,52.35
2018-12-26,50.11
2018-12-21,52.64
2018-12-20,53.92
2018-12-19,55.13
2018-12-18,56.08
2018-12-17,58.24
2018-12-14,59.07
2018-12-13,58.67
2018-12-12,59.2
2018-12-11,58.57
2018-12-10,59.72
2018-12-07,59.2
2018-12-06,58.79
2018-12-05,60.08
2018-12-04,61.09
2018-12-03,60.57
2018-11-30,58.33
2018-11-29,58.09
2018-11-28,59.25
2018-11-27,59.05
2018-11-26,59.29
2018-11-23,60.27
2018-11-22,62.08
2018-11-21,62.33
2018-11-20,64.02
2018-11-19,65.46
2018-11-16,66.0
2018-11-15,65.28
2018-11-14,64.51
2018-11-13,67.01
2018-11-12,69.82
2018-11-09,68.89
2018-11-08,70.68
2018-11-07,70.63
2018-11-06,70.88
2018-11-05,71.45
2018-11-02,71.35
2018-11-01,72.64
2018-10-31,75.24
2018-10-30,75.51
2018-10-29,76.07
2018-10-26,75.71
2018-10-25,75.33
2018-10-24,75.04
2018-10-23,77.11
2018-10-22,78.68
2018-10-19,78.15
2018-10-18,78.25
2018-10-17,79.5
2018-10-16,79.02
2018-10-15,79.31
2018-10-12,79.36
2018-10-11,80.14
2018-10-10,82.6
2018-10-09,83.17
2018-10-08,81.88
2018-10-05,83.24
2018-10-04,84.09
2018-10-03,83.64
2018-10-02,83.28
2018-10-01,81.58
2018-09-28,81.48
2018-09-27,80.88
2018-09-26,81.58
2018-09-25,80.44
2018-09-24,78.81
2018-09-21,77.08
2018-09-20,77.13
2018-09-19,77.06
2018-09-18,76.09
2018-09-17,76.19
2018-09-14,76.05
2018-09-13,76.46
2018-09-12,77.16
2018-09-11,76.02
2018-09-10,75.2
2018-09-07,74.17
2018-09-06,74.51
2018-09-05,75.18
2018-09-04,76.32
2018-09-03,75.77
2018-08-31,75.74
2018-08-30,75.72
2018-08-29,74.48
2018-08-28,74.75
2018-08-27,74.09
2018-08-24,74.02
2018-08-23,73.01
2018-08-22,71.75
2018-08-21,71.01
2018-08-20,70.64
2018-08-17,70.27
2018-08-16,69.47
2018-08-15,69.77
2018-08-14,71.33
2018-08-13,70.97
2018-08-10,70.6
2018-08-09,72.03
2018-08-08,72.1
2018-08-07,72.49
2018-08-06,72.18
2018-08-03,71.98
2018-08-02,71.52
2018-08-01,72.0
2018-07-31,73.62
2018-07-30,73.53
2018-07-27,73.69
2018-07-26,73.62
2018-07-25,72.87
2018-07-24,72.01
2018-07-23,71.85
2018-07-20,71.57
2018-07-19,70.91
2018-07-18,69.98
2018-07-17,70.38
2018-07-16,71.9
2018-07-13,72.15
2018-07-12,72.15
2018-07-11,74.4
2018-07-10,76.34
2018-07-09,75.23
2018-07-06,74.5
2018-07-05,75.21
2018-07-04,75.38
2018-07-03,74.96
2018-07-02,75.61
2018-06-29,75.68
2018-06-28,74.86
2018-06-27,74.31
2018-06-26,72.69
2018-06-25,72.16
2018-06-22,71.89
2018-06-21,70.96
2018-06-20,72.49
2018-06-19,71.88
2018-06-18,71.1
2018-06-15,72.8
2018-06-14,73.81
2018-06-13,73.36
2018-06-12,74.12
2018-06-11,73.97
2018-06-08,74.23
2018-06-07,73.63
2018-06-06,73.07
2018-06-05,72.8
2018-06-04,73.57
2018-06-01,74.25
2018-05-31,75.18
2018-05-30,73.73
2018-05-29,72.91
2018-05-28,73.37
2018-05-25,74.87
2018-05-24,76.62
2018-05-23,76.43
2018-05-22,77.19
2018-05-21,76.22
2018-05-18,76.47
2018-05-17,76.76
2018-05-16,75.18
2018-05-15,75.47
2018-05-14,74.2
2018-05-11,74.41
2018-05-10,74.45
2018-05-09,73.95
2018-05-08,72.1
2018-05-07,72.44
2018-05-04,70.98
2018-05-03,70.64
2018-05-02,70.46
2018-05-01,70.57
2018-04-30,71.02
2018-04-27,71.24
2018-04-26,71.0
2018-04-25,70.5
2018-04-24,71.35
2018-04-23,70.51
2018-04-20,70.37
2018-04-19,70.96
2018-04-18,69.39
2018-04-17,68.36
2018-04-16,68.41
2018-04-13,69.29
2018-04-12,68.74
2018-04-11,68.29
2018-04-10,66.95
2018-04-09,65.08
2018-04-06,64.81
2018-04-05,65.17
2018-04-04,64.48
2018-04-03,64.97
2018-04-02,66.08
2018-03-29,65.87
2018-03-28,66.06
2018-03-27,66.81
2018-03-26,66.81
2018-03-23,66.4
2018-03-22,66.19
2018-03-21,65.39
2018-03-20,64.11
2018-03-19,63.31
2018-03-16,62.74
2018-03-15,62.24
2018-03-14,61.97
2018-03-13,62.15
2018-03-12,62.53
2018-03-09,61.95
2018-03-08,61.85
2018-03-07,62.68
2018-03-06,63.24
2018-03-05,62.87
2018-03-02,61.57
2018-03-01,62.17
2018-02-28,63.97
2018-02-27,64.99
2018-02-26,65.18
2018-02-23,64.15
2018-02-22,63.08
2018-02-21,62.5
2018-02-20,62.81
2018-02-19,62.89
2018-02-16,62.41
2018-02-15,62.09
2018-02-14,60.62
2018-02-13,60.52
2018-02-12,61.04
2018-02-09,61.57
2018-02-08,62.74
2018-02-07,64.36
2018-02-06,64.89
2018-02-05,65.75
2018-02-02,67.11
2018-02-01,66.88
2018-01-31,66.28
2018-01-30,66.6
2018-01-29,67.6
2018-01-26,67.94
2018-01-25,68.46
2018-01-24,67.61
2018-01-23,67.32
2018-01-22,66.89
2018-01-19,66.48
2018-01-18,67.2
2018-01-17,67.07
2018-01-16,67.54
2018-01-15,67.78
2018-01-12,67.17
2018-01-11,67.38
2018-01-10,67.24
2018-01-09,66.39
2018-01-08,65.85
2018-01-05,65.86
2018-01-04,66.13
2018-01-03,65.13
2018-01-02,64.84
2017-12-29,64.47
2017-12-28,64.17
