Date,Rate,High (est),Low (est)
2018-02-28,56.219200134277,56.453899383545,56.006000518799
2018-02-27,55.628799438477,56.319999694824,55.305000305176
2018-02-26,56.322601318359,56.272201538086,55.625
2018-02-23,56.465000152588,56.572799682617,56.242698669434
2018-02-22,56.713401794434,56.797199249268,56.463500976562
2018-02-21,56.514099121094,56.722999572754,56.333999633789
2018-02-20,56.378200531006,56.742698669434,56.187999725342
2018-02-19,56.44100189209,56.527000427246,55.993999481201
2018-02-16,56.386798858643,56.439998626709,56.043998718262
2018-02-15,56.694400787354,56.844501495361,56.222999572754
2018-02-14,57.618000030518,57.737998962402,57.02379989624
2018-02-13,57.751300811768,57.923999786377,57.505001068115
2018-02-12,58.317699432373,58.331001281738,57.659000396729
2018-02-09,58.283599853516,58.403301239014,57.884998321533
2018-02-08,57.809600830078,58.221500396729,57.294998168945
2018-02-07,56.847099304199,57.266799926758,56.553001403809
2018-02-06,57.286499023438,57.603500366211,56.895000457764
2018-02-05,56.414001464844,56.945999145508,56.27799987793
2018-02-02,55.942901611328,56.518001556396,55.738998413086
2018-02-01,56.178699493408,56.396999359131,55.978000640869
2018-01-31,56.317798614502,56.426200866699,55.966999053955
2018-01-30,56.279598236084,56.400398254395,55.861698150635
2018-01-29,56.207000732422,56.490898132324,55.583000183105
2018-01-26,55.880699157715,56.238998413086,55.583000183105
2018-01-25,56.183601379395,56.226299285889,55.562000274658
2018-01-24,56.347198486328,56.446399688721,56.049999237061
2018-01-23,56.460399627686,56.567001342773,56.084999084473
2018-01-22,56.592498779297,56.726699829102,56.264999389648
2018-01-19,56.493698120117,56.701000213623,56.264999389648
2018-01-18,56.865001678467,56.865898132324,56.38330078125
2018-01-17,56.445899963379,56.926898956299,56.284999847412
2018-01-16,56.310001373291,56.5,56.062000274658
2018-01-15,56.548698425293,56.658000946045,56.023998260498
2018-01-12,56.503200531006,56.712001800537,56.270999908447
2018-01-11,57.020900726318,57.052501678467,56.575401306152
2018-01-10,56.859901428223,57.05350112915,56.522998809814
2018-01-09,57.090900421143,57.15599822998,56.734001159668
2018-01-08,56.988998413086,57.143001556396,56.637001037598
2018-01-05,56.972301483154,57.098201751709,56.700000762939
2018-01-04,57.119300842285,57.256500244141,56.870998382568
2018-01-03,57.52799987793,57.589900970459,57.196998596191
2018-01-02,57.583000183105,57.782001495361,56.967998504639
2018-01-01,57.604801177979,57.87739944458,57.34700012207
2017-12-29,57.568901062012,57.87739944458,57.34700012207
2017-12-28,57.74169921875,57.736598968506,57.354999542236
2017-12-27,57.637199401855,57.900001525879,57.141998291016
2017-12-26,58.037700653076,58.241500854492,57.318000793457
2017-12-25,58.285499572754,58.358798980713,57.657600402832
2017-12-22,58.410301208496,58.583599090576,58.095001220703
2017-12-21,58.697700500488,58.722099304199,58.248001098633
2017-12-20,58.743698120117,58.767501831055,58.436000823975
2017-12-19,58.63990020752,58.838798522949,58.369998931885
2017-12-18,58.595001220703,58.986000061035,58.419998168945
2017-12-15,58.811500549316,58.986000061035,58.615001678467
2017-12-14,58.550201416016,58.876998901367,58.243000030518
2017-12-13,59.184299468994,59.229400634766,58.716300964355
2017-12-12,58.912899017334,59.243900299072,58.582000732422
2017-12-11,59.0797996521,59.292999267578,58.883399963379
2017-12-08,59.196800231934,59.353000640869,58.976001739502
2017-12-07,59.155300140381,59.338001251221,59.029998779297
2017-12-06,58.763401031494,59.208999633789,58.493000030518
2017-12-05,58.770999908447,58.823101043701,58.415000915527
2017-12-04,58.801700592041,59.103000640869,58.233001708984
2017-12-01,58.447799682617,59.0964012146,58.233001708984
2017-11-30,58.596698760986,58.71900177002,58.25
2017-11-29,58.383201599121,58.572101593018,58.028999328613
2017-11-28,58.434898376465,58.489799499512,58.165000915527
2017-11-27,58.375,58.388999938965,58.033298492432
2017-11-24,58.420600891113,58.688899993896,58.210899353027
2017-11-23,58.38090133667,58.486000061035,58.22200012207
2017-11-22,59.105701446533,59.124500274658,58.531398773193
2017-11-21,59.368698120117,59.516998291016,59.071300506592
2017-11-20,59.098999023438,59.735000610352,58.837001800537
2017-11-15,60.310901641846,60.419498443604,60.011001586914
2017-11-13,59.199901580811,59.53099822998,58.884998321533
2017-11-10,59.310001373291,59.362098693848,58.960998535156
2017-11-09,59.111000061035,59.403999328613,58.930000305176
2017-11-08,59.340900421143,59.550998687744,58.89400100708
2017-11-07,58.25590133667,59.378200531006,58.085998535156
2017-11-06,58.933300018311,59.245998382568,57.983001708984
2017-11-03,58.261600494385,59.245998382568,57.983001708984
2017-11-02,58.209800720215,58.416198730469,57.75899887085
2017-11-01,58.229698181152,58.377998352051,57.881999969482
2017-10-31,57.900199890137,58.578998565674,57.698001861572
2017-10-30,58.0964012146,58.722999572754,57.569000244141
2017-10-27,57.840900421143,58.722999572754,57.569000244141
2017-10-26,57.715301513672,57.801998138428,57.391998291016
2017-10-25,57.615200042725,57.774501800537,57.314998626709
2017-10-24,57.488399505615,57.682998657227,57.215999603271
2017-10-23,57.544799804688,57.573799133301,57.257999420166
2017-10-20,57.238201141357,57.619998931885,57.136001586914
2017-10-19,57.375301361084,57.698001861572,57.266899108887
2017-10-18,57.274898529053,57.459098815918,56.889598846436
2017-10-17,57.19409942627,57.50590133667,57.07559967041
2017-10-16,57.203998565674,57.339698791504,56.964000701904
2017-10-13,57.637401580811,57.752498626709,57.066699981689
2017-10-12,57.80110168457,57.806198120117,57.539001464844
2017-10-11,57.938301086426,58.013198852539,57.712001800537
2017-10-10,58.25170135498,58.277099609375,57.783298492432
